Categoria,Medio,Fecha,Titulo,Resumen,ComentarioReaccion,TonoSentimiento
Generacion Z,El Universal,2024-05-07,Opinión sobre la crisis generacional,La IA puede predecir nuestras emociones con una pr...,La IA puede predecir nuestras emociones con una precisión inquietante. ¿Qué queda entonces de nuestra espontaneidad?,1
Generacion Z,Twitter,2023-05-25,Opinión sobre la crisis generacional,"Con tanta información, el desafío ya no es aprende...","Con tanta información, el desafío ya no es aprender, sino filtrar. El exceso de conocimiento puede ser una forma moderna de confusión. La Generación Z ha heredado un mundo acelerado, caótico y saturado. Buscar sentido en medio de ese ruido es un acto filosófico profundo.",10
Generacion Z,TikTok,2024-01-25,Opinión sobre la crisis generacional,"La Generación Z ha heredado un mundo acelerado, ca...","La Generación Z ha heredado un mundo acelerado, caótico y saturado. Buscar sentido en medio de ese ruido es un acto filosófico profundo.",1
Generacion Z,El Financiero,2024-05-14,Opinión sobre la crisis generacional,Cada vez que una app me recomienda qué ver o qué c...,"Cada vez que una app me recomienda qué ver o qué comprar, siento que renuncio un poco más a mi libertad de elección. No sé si la tecnología nos está liberando del esfuerzo o si nos está convirtiendo en espectadores pasivos de nuestra propia vida.",1
Generacion Z,TikTok,2022-11-03,Opinión sobre la crisis generacional,A veces siento que la presión de mostrar una vida ...,"A veces siento que la presión de mostrar una vida perfecta en redes sociales nos roba la oportunidad de ser auténticos. La Generación Z vive entre expectativas irreales y una búsqueda constante de validación. Muchos jóvenes tienen una sensación de vacío difícil de explicar. Vivimos en un mundo hiperconectado, pero paradójicamente, cada día nos sentimos más solos.",1
Generacion Z,TikTok,2022-06-21,Opinión sobre la crisis generacional,No sé si la tecnología nos está liberando del esfu...,No sé si la tecnología nos está liberando del esfuerzo o si nos está convirtiendo en espectadores pasivos de nuestra propia vida.,1
Generacion Z,YouTube,2023-01-27,Opinión sobre la crisis generacional,No sé si la tecnología nos está liberando del esfu...,No sé si la tecnología nos está liberando del esfuerzo o si nos está convirtiendo en espectadores pasivos de nuestra propia vida.,10
Generacion Z,El Universal,2022-05-01,Opinión sobre la crisis generacional,Estamos tan acostumbrados a la recompensa instantá...,Estamos tan acostumbrados a la recompensa instantánea que cualquier proyecto que requiera paciencia nos parece imposible.,10
Generacion Z,TikTok,2023-08-29,Opinión sobre la crisis generacional,Antes los proyectos de vida eran a largo plazo; ho...,Antes los proyectos de vida eran a largo plazo; hoy parece que nuestra identidad cambia tan rápido como las tendencias en TikTok.,5
Generacion Z,YouTube,2022-01-30,Opinión sobre la crisis generacional,Los vínculos afectivos hoy son más frágiles que nu...,Los vínculos afectivos hoy son más frágiles que nunca. La inmediatez también afecta las relaciones humanas.,5
Generacion Z,TikTok,2022-10-24,Opinión sobre la crisis generacional,No sé si la tecnología nos está liberando del esfu...,No sé si la tecnología nos está liberando del esfuerzo o si nos está convirtiendo en espectadores pasivos de nuestra propia vida. ¿Seguimos siendo sujetos libres si los algoritmos determinan qué contenido vemos y qué contenido nunca nos aparece?,1
Generacion Z,El Universal,2024-01-26,Opinión sobre la crisis generacional,La Generación Z enfrenta un dilema existencial: qu...,"La Generación Z enfrenta un dilema existencial: querer cambiar el mundo, pero estar atrapada en dinámicas de inmediatez y consumo constante. Los vínculos afectivos hoy son más frágiles que nunca. La inmediatez también afecta las relaciones humanas.",5
Generacion Z,Twitter,2023-05-07,Opinión sobre la crisis generacional,"Muchos jóvenes sienten que el futuro es incierto, ...","Muchos jóvenes sienten que el futuro es incierto, no por falta de oportunidades, sino por exceso de opciones que terminan paralizando.",5
Generacion Z,YouTube,2022-10-03,Opinión sobre la crisis generacional,La identidad en línea se construye y se desmonta c...,"La identidad en línea se construye y se desmonta como si fuera un proyecto temporal. Nada parece sólido, ni siquiera la idea de quién somos.",10
Generacion Z,YouTube,2024-01-23,Opinión sobre la crisis generacional,"La Generación Z ha heredado un mundo acelerado, ca...","La Generación Z ha heredado un mundo acelerado, caótico y saturado. Buscar sentido en medio de ese ruido es un acto filosófico profundo.",10
Generacion Z,YouTube,2023-12-03,Opinión sobre la crisis generacional,La identidad en línea se construye y se desmonta c...,"La identidad en línea se construye y se desmonta como si fuera un proyecto temporal. Nada parece sólido, ni siquiera la idea de quién somos.",1
Generacion Z,TikTok,2022-03-07,Opinión sobre la crisis generacional,Los vínculos afectivos hoy son más frágiles que nu...,Los vínculos afectivos hoy son más frágiles que nunca. La inmediatez también afecta las relaciones humanas. No sé si la tecnología nos está liberando del esfuerzo o si nos está convirtiendo en espectadores pasivos de nuestra propia vida.,1
Generacion Z,El Financiero,2024-01-26,Opinión sobre la crisis generacional,Muchos jóvenes tienen una sensación de vacío difíc...,"Muchos jóvenes tienen una sensación de vacío difícil de explicar. Vivimos en un mundo hiperconectado, pero paradójicamente, cada día nos sentimos más solos. La identidad en línea se construye y se desmonta como si fuera un proyecto temporal. Nada parece sólido, ni siquiera la idea de quién somos.",10
Generacion Z,Twitter,2024-03-18,Opinión sobre la crisis generacional,¿Seguimos siendo sujetos libres si los algoritmos ...,"¿Seguimos siendo sujetos libres si los algoritmos determinan qué contenido vemos y qué contenido nunca nos aparece? La identidad en línea se construye y se desmonta como si fuera un proyecto temporal. Nada parece sólido, ni siquiera la idea de quién somos.",1
Generacion Z,YouTube,2022-05-06,Opinión sobre la crisis generacional,Los algoritmos parecen conocer mis gustos mejor qu...,Los algoritmos parecen conocer mis gustos mejor que yo mismo. Es inquietante pensar si realmente sigo mis propias decisiones o si son las plataformas quienes moldean mi comportamiento.,10
Generacion Z,El Universal,2023-12-27,Opinión sobre la crisis generacional,La presión por ser productivo todo el tiempo está ...,La presión por ser productivo todo el tiempo está quemando a una generación entera. No todo en la vida debe ser rendimiento.,5
Generacion Z,TikTok,2022-06-15,Opinión sobre la crisis generacional,La presión por ser productivo todo el tiempo está ...,La presión por ser productivo todo el tiempo está quemando a una generación entera. No todo en la vida debe ser rendimiento.,1
Generacion Z,Twitter,2024-05-04,Opinión sobre la crisis generacional,¿Seguimos siendo sujetos libres si los algoritmos ...,¿Seguimos siendo sujetos libres si los algoritmos determinan qué contenido vemos y qué contenido nunca nos aparece?,1
Generacion Z,YouTube,2022-04-24,Opinión sobre la crisis generacional,"La Generación Z ha heredado un mundo acelerado, ca...","La Generación Z ha heredado un mundo acelerado, caótico y saturado. Buscar sentido en medio de ese ruido es un acto filosófico profundo.",1
Generacion Z,El País,2022-09-13,Opinión sobre la crisis generacional,"Con tanta información, el desafío ya no es aprende...","Con tanta información, el desafío ya no es aprender, sino filtrar. El exceso de conocimiento puede ser una forma moderna de confusión.",5
Generacion Z,Twitter,2023-01-05,Opinión sobre la crisis generacional,La Generación Z enfrenta un dilema existencial: qu...,"La Generación Z enfrenta un dilema existencial: querer cambiar el mundo, pero estar atrapada en dinámicas de inmediatez y consumo constante.",5
Generacion Z,Reforma,2023-08-17,Opinión sobre la crisis generacional,La cultura actual parece obsesionada con lo nuevo ...,"La cultura actual parece obsesionada con lo nuevo y lo inmediato, dejando poco espacio para la reflexión o el compromiso duradero.",5
Generacion Z,Twitter,2024-03-18,Opinión sobre la crisis generacional,"La Generación Z ha heredado un mundo acelerado, ca...","La Generación Z ha heredado un mundo acelerado, caótico y saturado. Buscar sentido en medio de ese ruido es un acto filosófico profundo.",1
Generacion Z,YouTube,2023-12-15,Opinión sobre la crisis generacional,Todo se mueve tan rápido que incluso los recuerdos...,Todo se mueve tan rápido que incluso los recuerdos parecen caducar. La cultura de lo efímero borra cualquier intento de construir algo que perdure. Los vínculos afectivos hoy son más frágiles que nunca. La inmediatez también afecta las relaciones humanas.,5
Generacion Z,El Financiero,2023-10-23,Opinión sobre la crisis generacional,La IA puede predecir nuestras emociones con una pr...,La IA puede predecir nuestras emociones con una precisión inquietante. ¿Qué queda entonces de nuestra espontaneidad?,1
Generacion Z,Twitter,2023-06-03,Opinión sobre la crisis generacional,"La Generación Z ha heredado un mundo acelerado, ca...","La Generación Z ha heredado un mundo acelerado, caótico y saturado. Buscar sentido en medio de ese ruido es un acto filosófico profundo.",5
Generacion Z,TikTok,2023-02-04,Opinión sobre la crisis generacional,La Generación Z enfrenta un dilema existencial: qu...,"La Generación Z enfrenta un dilema existencial: querer cambiar el mundo, pero estar atrapada en dinámicas de inmediatez y consumo constante.",1
Generacion Z,Twitter,2022-06-12,Opinión sobre la crisis generacional,"Muchos jóvenes sienten que el futuro es incierto, ...","Muchos jóvenes sienten que el futuro es incierto, no por falta de oportunidades, sino por exceso de opciones que terminan paralizando. No sé si la tecnología nos está liberando del esfuerzo o si nos está convirtiendo en espectadores pasivos de nuestra propia vida.",10
Generacion Z,YouTube,2022-07-17,Opinión sobre la crisis generacional,Los vínculos afectivos hoy son más frágiles que nu...,Los vínculos afectivos hoy son más frágiles que nunca. La inmediatez también afecta las relaciones humanas.,5
Generacion Z,Twitter,2022-10-21,Opinión sobre la crisis generacional,Los vínculos afectivos hoy son más frágiles que nu...,Los vínculos afectivos hoy son más frágiles que nunca. La inmediatez también afecta las relaciones humanas.,5
Generacion Z,TikTok,2022-05-27,Opinión sobre la crisis generacional,La cultura actual parece obsesionada con lo nuevo ...,"La cultura actual parece obsesionada con lo nuevo y lo inmediato, dejando poco espacio para la reflexión o el compromiso duradero.",1
Generacion Z,El Financiero,2023-04-01,Opinión sobre la crisis generacional,Todo se mueve tan rápido que incluso los recuerdos...,Todo se mueve tan rápido que incluso los recuerdos parecen caducar. La cultura de lo efímero borra cualquier intento de construir algo que perdure.,10
Generacion Z,Twitter,2022-02-01,Opinión sobre la crisis generacional,La identidad en línea se construye y se desmonta c...,"La identidad en línea se construye y se desmonta como si fuera un proyecto temporal. Nada parece sólido, ni siquiera la idea de quién somos.",5
Generacion Z,Twitter,2023-11-16,Opinión sobre la crisis generacional,Cada vez que una app me recomienda qué ver o qué c...,"Cada vez que una app me recomienda qué ver o qué comprar, siento que renuncio un poco más a mi libertad de elección.",5
Generacion Z,Reforma,2022-09-04,Opinión sobre la crisis generacional,Todo se mueve tan rápido que incluso los recuerdos...,Todo se mueve tan rápido que incluso los recuerdos parecen caducar. La cultura de lo efímero borra cualquier intento de construir algo que perdure. La relación entre la inteligencia artificial y nuestra autonomía se está volviendo difusa. ¿Hasta qué punto delegamos decisiones importantes sin darnos cuenta?,1
Generacion Z,TikTok,2022-05-14,Opinión sobre la crisis generacional,El ruido constante de las redes sociales hace difí...,El ruido constante de las redes sociales hace difícil encontrar silencio interior. ¿Cómo pensar profundamente en medio de tantas distracciones?,5
Generacion Z,Reforma,2023-01-14,Opinión sobre la crisis generacional,"La Generación Z ha heredado un mundo acelerado, ca...","La Generación Z ha heredado un mundo acelerado, caótico y saturado. Buscar sentido en medio de ese ruido es un acto filosófico profundo. Muchos jóvenes sienten que el futuro es incierto, no por falta de oportunidades, sino por exceso de opciones que terminan paralizando.",5
Generacion Z,TikTok,2023-10-04,Opinión sobre la crisis generacional,Antes los proyectos de vida eran a largo plazo; ho...,"Antes los proyectos de vida eran a largo plazo; hoy parece que nuestra identidad cambia tan rápido como las tendencias en TikTok. La identidad en línea se construye y se desmonta como si fuera un proyecto temporal. Nada parece sólido, ni siquiera la idea de quién somos.",1
Generacion Z,YouTube,2024-06-19,Opinión sobre la crisis generacional,El ruido constante de las redes sociales hace difí...,El ruido constante de las redes sociales hace difícil encontrar silencio interior. ¿Cómo pensar profundamente en medio de tantas distracciones? A veces siento que la presión de mostrar una vida perfecta en redes sociales nos roba la oportunidad de ser auténticos. La Generación Z vive entre expectativas irreales y una búsqueda constante de validación.,5
Generacion Z,El Financiero,2023-10-23,Opinión sobre la crisis generacional,La Generación Z enfrenta un dilema existencial: qu...,"La Generación Z enfrenta un dilema existencial: querer cambiar el mundo, pero estar atrapada en dinámicas de inmediatez y consumo constante. Cada vez que una app me recomienda qué ver o qué comprar, siento que renuncio un poco más a mi libertad de elección.",1
Generacion Z,Twitter,2022-03-26,Opinión sobre la crisis generacional,La relación entre la inteligencia artificial y nue...,La relación entre la inteligencia artificial y nuestra autonomía se está volviendo difusa. ¿Hasta qué punto delegamos decisiones importantes sin darnos cuenta?,1
Generacion Z,Twitter,2022-02-22,Opinión sobre la crisis generacional,El ruido constante de las redes sociales hace difí...,El ruido constante de las redes sociales hace difícil encontrar silencio interior. ¿Cómo pensar profundamente en medio de tantas distracciones?,5
Generacion Z,TikTok,2023-04-23,Opinión sobre la crisis generacional,A veces siento que la presión de mostrar una vida ...,A veces siento que la presión de mostrar una vida perfecta en redes sociales nos roba la oportunidad de ser auténticos. La Generación Z vive entre expectativas irreales y una búsqueda constante de validación.,5
Generacion Z,Twitter,2023-07-08,Opinión sobre la crisis generacional,La cultura actual parece obsesionada con lo nuevo ...,"La cultura actual parece obsesionada con lo nuevo y lo inmediato, dejando poco espacio para la reflexión o el compromiso duradero. No sé si la tecnología nos está liberando del esfuerzo o si nos está convirtiendo en espectadores pasivos de nuestra propia vida.",10
Generacion Z,Twitter,2023-01-11,Opinión sobre la crisis generacional,La relación entre la inteligencia artificial y nue...,La relación entre la inteligencia artificial y nuestra autonomía se está volviendo difusa. ¿Hasta qué punto delegamos decisiones importantes sin darnos cuenta?,5
Generacion Z,Twitter,2023-05-13,Opinión sobre la crisis generacional,La identidad en línea se construye y se desmonta c...,"La identidad en línea se construye y se desmonta como si fuera un proyecto temporal. Nada parece sólido, ni siquiera la idea de quién somos.",10
Generacion Z,TikTok,2023-08-19,Opinión sobre la crisis generacional,La Generación Z enfrenta un dilema existencial: qu...,"La Generación Z enfrenta un dilema existencial: querer cambiar el mundo, pero estar atrapada en dinámicas de inmediatez y consumo constante.",5
Generacion Z,Twitter,2022-09-18,Opinión sobre la crisis generacional,El ruido constante de las redes sociales hace difí...,El ruido constante de las redes sociales hace difícil encontrar silencio interior. ¿Cómo pensar profundamente en medio de tantas distracciones? La relación entre la inteligencia artificial y nuestra autonomía se está volviendo difusa. ¿Hasta qué punto delegamos decisiones importantes sin darnos cuenta?,1
Generacion Z,TikTok,2022-09-12,Opinión sobre la crisis generacional,¿Seguimos siendo sujetos libres si los algoritmos ...,¿Seguimos siendo sujetos libres si los algoritmos determinan qué contenido vemos y qué contenido nunca nos aparece?,10
Generacion Z,YouTube,2022-02-01,Opinión sobre la crisis generacional,"Con tanta información, el desafío ya no es aprende...","Con tanta información, el desafío ya no es aprender, sino filtrar. El exceso de conocimiento puede ser una forma moderna de confusión.",1
Generacion Z,YouTube,2024-05-25,Opinión sobre la crisis generacional,A veces siento que la presión de mostrar una vida ...,A veces siento que la presión de mostrar una vida perfecta en redes sociales nos roba la oportunidad de ser auténticos. La Generación Z vive entre expectativas irreales y una búsqueda constante de validación.,1
Generacion Z,Twitter,2022-06-20,Opinión sobre la crisis generacional,No sé si la tecnología nos está liberando del esfu...,No sé si la tecnología nos está liberando del esfuerzo o si nos está convirtiendo en espectadores pasivos de nuestra propia vida.,5
Generacion Z,YouTube,2023-12-02,Opinión sobre la crisis generacional,La IA puede predecir nuestras emociones con una pr...,La IA puede predecir nuestras emociones con una precisión inquietante. ¿Qué queda entonces de nuestra espontaneidad?,10
Generacion Z,TikTok,2022-10-07,Opinión sobre la crisis generacional,La cultura actual parece obsesionada con lo nuevo ...,"La cultura actual parece obsesionada con lo nuevo y lo inmediato, dejando poco espacio para la reflexión o el compromiso duradero. Estamos tan acostumbrados a la recompensa instantánea que cualquier proyecto que requiera paciencia nos parece imposible.",5
Generacion Z,TikTok,2024-06-02,Opinión sobre la crisis generacional,Todo se mueve tan rápido que incluso los recuerdos...,Todo se mueve tan rápido que incluso los recuerdos parecen caducar. La cultura de lo efímero borra cualquier intento de construir algo que perdure.,5
Generacion Z,TikTok,2024-04-26,Opinión sobre la crisis generacional,Muchos jóvenes tienen una sensación de vacío difíc...,"Muchos jóvenes tienen una sensación de vacío difícil de explicar. Vivimos en un mundo hiperconectado, pero paradójicamente, cada día nos sentimos más solos.",10
Generacion Z,YouTube,2022-11-19,Opinión sobre la crisis generacional,Cada vez que una app me recomienda qué ver o qué c...,"Cada vez que una app me recomienda qué ver o qué comprar, siento que renuncio un poco más a mi libertad de elección. El ruido constante de las redes sociales hace difícil encontrar silencio interior. ¿Cómo pensar profundamente en medio de tantas distracciones?",10
Generacion Z,El Financiero,2024-05-26,Opinión sobre la crisis generacional,No sé si la tecnología nos está liberando del esfu...,No sé si la tecnología nos está liberando del esfuerzo o si nos está convirtiendo en espectadores pasivos de nuestra propia vida.,1
Generacion Z,TikTok,2022-06-12,Opinión sobre la crisis generacional,Antes los proyectos de vida eran a largo plazo; ho...,Antes los proyectos de vida eran a largo plazo; hoy parece que nuestra identidad cambia tan rápido como las tendencias en TikTok.,10
Generacion Z,Twitter,2022-03-19,Opinión sobre la crisis generacional,No sé si la tecnología nos está liberando del esfu...,No sé si la tecnología nos está liberando del esfuerzo o si nos está convirtiendo en espectadores pasivos de nuestra propia vida.,5
Generacion Z,TikTok,2024-01-28,Opinión sobre la crisis generacional,A veces siento que la presión de mostrar una vida ...,A veces siento que la presión de mostrar una vida perfecta en redes sociales nos roba la oportunidad de ser auténticos. La Generación Z vive entre expectativas irreales y una búsqueda constante de validación. La presión por ser productivo todo el tiempo está quemando a una generación entera. No todo en la vida debe ser rendimiento.,5
Generacion Z,Twitter,2023-10-05,Opinión sobre la crisis generacional,"Con tanta información, el desafío ya no es aprende...","Con tanta información, el desafío ya no es aprender, sino filtrar. El exceso de conocimiento puede ser una forma moderna de confusión. La Generación Z ha heredado un mundo acelerado, caótico y saturado. Buscar sentido en medio de ese ruido es un acto filosófico profundo.",5
Generacion Z,Twitter,2022-07-03,Opinión sobre la crisis generacional,No sé si la tecnología nos está liberando del esfu...,No sé si la tecnología nos está liberando del esfuerzo o si nos está convirtiendo en espectadores pasivos de nuestra propia vida.,1
Generacion Z,El Financiero,2023-10-11,Opinión sobre la crisis generacional,Los algoritmos parecen conocer mis gustos mejor qu...,Los algoritmos parecen conocer mis gustos mejor que yo mismo. Es inquietante pensar si realmente sigo mis propias decisiones o si son las plataformas quienes moldean mi comportamiento.,1
Generacion Z,YouTube,2022-03-01,Opinión sobre la crisis generacional,Muchos jóvenes tienen una sensación de vacío difíc...,"Muchos jóvenes tienen una sensación de vacío difícil de explicar. Vivimos en un mundo hiperconectado, pero paradójicamente, cada día nos sentimos más solos.",5
Generacion Z,El Financiero,2023-12-05,Opinión sobre la crisis generacional,"Muchos jóvenes sienten que el futuro es incierto, ...","Muchos jóvenes sienten que el futuro es incierto, no por falta de oportunidades, sino por exceso de opciones que terminan paralizando.",5
Generacion Z,TikTok,2023-07-21,Opinión sobre la crisis generacional,La relación entre la inteligencia artificial y nue...,La relación entre la inteligencia artificial y nuestra autonomía se está volviendo difusa. ¿Hasta qué punto delegamos decisiones importantes sin darnos cuenta?,1
Generacion Z,El Universal,2024-03-16,Opinión sobre la crisis generacional,Los vínculos afectivos hoy son más frágiles que nu...,Los vínculos afectivos hoy son más frágiles que nunca. La inmediatez también afecta las relaciones humanas.,5
Generacion Z,Twitter,2024-02-22,Opinión sobre la crisis generacional,¿Seguimos siendo sujetos libres si los algoritmos ...,¿Seguimos siendo sujetos libres si los algoritmos determinan qué contenido vemos y qué contenido nunca nos aparece?,10
Generacion Z,Twitter,2022-04-05,Opinión sobre la crisis generacional,El ruido constante de las redes sociales hace difí...,El ruido constante de las redes sociales hace difícil encontrar silencio interior. ¿Cómo pensar profundamente en medio de tantas distracciones? No sé si la tecnología nos está liberando del esfuerzo o si nos está convirtiendo en espectadores pasivos de nuestra propia vida.,10
Generacion Z,Reforma,2024-04-27,Opinión sobre la crisis generacional,Los vínculos afectivos hoy son más frágiles que nu...,Los vínculos afectivos hoy son más frágiles que nunca. La inmediatez también afecta las relaciones humanas.,5
Generacion Z,YouTube,2023-11-10,Opinión sobre la crisis generacional,¿Seguimos siendo sujetos libres si los algoritmos ...,¿Seguimos siendo sujetos libres si los algoritmos determinan qué contenido vemos y qué contenido nunca nos aparece?,10
Generacion Z,TikTok,2022-07-16,Opinión sobre la crisis generacional,La relación entre la inteligencia artificial y nue...,La relación entre la inteligencia artificial y nuestra autonomía se está volviendo difusa. ¿Hasta qué punto delegamos decisiones importantes sin darnos cuenta?,5
Generacion Z,Twitter,2022-03-25,Opinión sobre la crisis generacional,"Con tanta información, el desafío ya no es aprende...","Con tanta información, el desafío ya no es aprender, sino filtrar. El exceso de conocimiento puede ser una forma moderna de confusión. Antes los proyectos de vida eran a largo plazo; hoy parece que nuestra identidad cambia tan rápido como las tendencias en TikTok.",5
Generacion Z,Twitter,2022-06-25,Opinión sobre la crisis generacional,La relación entre la inteligencia artificial y nue...,La relación entre la inteligencia artificial y nuestra autonomía se está volviendo difusa. ¿Hasta qué punto delegamos decisiones importantes sin darnos cuenta?,1
Generacion Z,TikTok,2023-01-02,Opinión sobre la crisis generacional,Muchos jóvenes tienen una sensación de vacío difíc...,"Muchos jóvenes tienen una sensación de vacío difícil de explicar. Vivimos en un mundo hiperconectado, pero paradójicamente, cada día nos sentimos más solos.",10
Generacion Z,El Universal,2022-12-08,Opinión sobre la crisis generacional,A veces siento que la presión de mostrar una vida ...,A veces siento que la presión de mostrar una vida perfecta en redes sociales nos roba la oportunidad de ser auténticos. La Generación Z vive entre expectativas irreales y una búsqueda constante de validación.,10
Generacion Z,TikTok,2023-06-10,Opinión sobre la crisis generacional,La IA puede predecir nuestras emociones con una pr...,La IA puede predecir nuestras emociones con una precisión inquietante. ¿Qué queda entonces de nuestra espontaneidad?,10
Generacion Z,Twitter,2023-05-10,Opinión sobre la crisis generacional,La IA puede predecir nuestras emociones con una pr...,La IA puede predecir nuestras emociones con una precisión inquietante. ¿Qué queda entonces de nuestra espontaneidad?,1
Generacion Z,TikTok,2024-02-22,Opinión sobre la crisis generacional,"Muchos jóvenes sienten que el futuro es incierto, ...","Muchos jóvenes sienten que el futuro es incierto, no por falta de oportunidades, sino por exceso de opciones que terminan paralizando.",1
Generacion Z,YouTube,2022-10-08,Opinión sobre la crisis generacional,Todo se mueve tan rápido que incluso los recuerdos...,Todo se mueve tan rápido que incluso los recuerdos parecen caducar. La cultura de lo efímero borra cualquier intento de construir algo que perdure.,10
Generacion Z,El Financiero,2023-04-02,Opinión sobre la crisis generacional,"La Generación Z ha heredado un mundo acelerado, ca...","La Generación Z ha heredado un mundo acelerado, caótico y saturado. Buscar sentido en medio de ese ruido es un acto filosófico profundo. La cultura actual parece obsesionada con lo nuevo y lo inmediato, dejando poco espacio para la reflexión o el compromiso duradero.",5
Generacion Z,Twitter,2023-04-09,Opinión sobre la crisis generacional,La Generación Z enfrenta un dilema existencial: qu...,"La Generación Z enfrenta un dilema existencial: querer cambiar el mundo, pero estar atrapada en dinámicas de inmediatez y consumo constante.",5
Generacion Z,TikTok,2023-01-19,Opinión sobre la crisis generacional,Antes los proyectos de vida eran a largo plazo; ho...,"Antes los proyectos de vida eran a largo plazo; hoy parece que nuestra identidad cambia tan rápido como las tendencias en TikTok. Muchos jóvenes sienten que el futuro es incierto, no por falta de oportunidades, sino por exceso de opciones que terminan paralizando.",10
Generacion Z,TikTok,2022-04-03,Opinión sobre la crisis generacional,La relación entre la inteligencia artificial y nue...,La relación entre la inteligencia artificial y nuestra autonomía se está volviendo difusa. ¿Hasta qué punto delegamos decisiones importantes sin darnos cuenta?,10
Generacion Z,TikTok,2023-02-28,Opinión sobre la crisis generacional,No sé si la tecnología nos está liberando del esfu...,No sé si la tecnología nos está liberando del esfuerzo o si nos está convirtiendo en espectadores pasivos de nuestra propia vida.,5
Generacion Z,YouTube,2022-02-23,Opinión sobre la crisis generacional,La presión por ser productivo todo el tiempo está ...,La presión por ser productivo todo el tiempo está quemando a una generación entera. No todo en la vida debe ser rendimiento. ¿Seguimos siendo sujetos libres si los algoritmos determinan qué contenido vemos y qué contenido nunca nos aparece?,10
Generacion Z,Twitter,2024-02-23,Opinión sobre la crisis generacional,"Muchos jóvenes sienten que el futuro es incierto, ...","Muchos jóvenes sienten que el futuro es incierto, no por falta de oportunidades, sino por exceso de opciones que terminan paralizando.",1
Generacion Z,El Universal,2022-08-08,Opinión sobre la crisis generacional,Todo se mueve tan rápido que incluso los recuerdos...,Todo se mueve tan rápido que incluso los recuerdos parecen caducar. La cultura de lo efímero borra cualquier intento de construir algo que perdure. La relación entre la inteligencia artificial y nuestra autonomía se está volviendo difusa. ¿Hasta qué punto delegamos decisiones importantes sin darnos cuenta?,1
Generacion Z,TikTok,2023-12-08,Opinión sobre la crisis generacional,La IA puede predecir nuestras emociones con una pr...,La IA puede predecir nuestras emociones con una precisión inquietante. ¿Qué queda entonces de nuestra espontaneidad?,10
Generacion Z,El País,2022-10-16,Opinión sobre la crisis generacional,Los algoritmos parecen conocer mis gustos mejor qu...,Los algoritmos parecen conocer mis gustos mejor que yo mismo. Es inquietante pensar si realmente sigo mis propias decisiones o si son las plataformas quienes moldean mi comportamiento.,10
Generacion Z,TikTok,2023-04-07,Opinión sobre la crisis generacional,No sé si la tecnología nos está liberando del esfu...,No sé si la tecnología nos está liberando del esfuerzo o si nos está convirtiendo en espectadores pasivos de nuestra propia vida.,5
Generacion Z,El País,2024-05-17,Opinión sobre la crisis generacional,"Muchos jóvenes sienten que el futuro es incierto, ...","Muchos jóvenes sienten que el futuro es incierto, no por falta de oportunidades, sino por exceso de opciones que terminan paralizando.",10
Generacion Z,Twitter,2023-12-07,Opinión sobre la crisis generacional,"Con tanta información, el desafío ya no es aprende...","Con tanta información, el desafío ya no es aprender, sino filtrar. El exceso de conocimiento puede ser una forma moderna de confusión.",5
Generacion Z,Twitter,2022-04-25,Opinión sobre la crisis generacional,La presión por ser productivo todo el tiempo está ...,La presión por ser productivo todo el tiempo está quemando a una generación entera. No todo en la vida debe ser rendimiento.,1
Generacion Z,Reforma,2023-01-16,Opinión sobre la crisis generacional,Todo se mueve tan rápido que incluso los recuerdos...,Todo se mueve tan rápido que incluso los recuerdos parecen caducar. La cultura de lo efímero borra cualquier intento de construir algo que perdure.,5
Generacion Z,El Universal,2023-09-17,Opinión sobre la crisis generacional,Muchos jóvenes tienen una sensación de vacío difíc...,"Muchos jóvenes tienen una sensación de vacío difícil de explicar. Vivimos en un mundo hiperconectado, pero paradójicamente, cada día nos sentimos más solos.",10
Generacion Z,TikTok,2024-03-08,Opinión sobre la crisis generacional,Cada vez que una app me recomienda qué ver o qué c...,"Cada vez que una app me recomienda qué ver o qué comprar, siento que renuncio un poco más a mi libertad de elección.",10
Generacion Z,YouTube,2023-07-02,Opinión sobre la crisis generacional,Estamos tan acostumbrados a la recompensa instantá...,Estamos tan acostumbrados a la recompensa instantánea que cualquier proyecto que requiera paciencia nos parece imposible.,1
Generacion Z,YouTube,2023-11-16,Opinión sobre la crisis generacional,Los algoritmos parecen conocer mis gustos mejor qu...,"Los algoritmos parecen conocer mis gustos mejor que yo mismo. Es inquietante pensar si realmente sigo mis propias decisiones o si son las plataformas quienes moldean mi comportamiento. La cultura actual parece obsesionada con lo nuevo y lo inmediato, dejando poco espacio para la reflexión o el compromiso duradero.",5
Generacion Z,Twitter,2023-06-14,Opinión sobre la crisis generacional,La identidad en línea se construye y se desmonta c...,"La identidad en línea se construye y se desmonta como si fuera un proyecto temporal. Nada parece sólido, ni siquiera la idea de quién somos.",10
Generacion Z,Twitter,2023-09-09,Opinión sobre la crisis generacional,La Generación Z enfrenta un dilema existencial: qu...,"La Generación Z enfrenta un dilema existencial: querer cambiar el mundo, pero estar atrapada en dinámicas de inmediatez y consumo constante. Todo se mueve tan rápido que incluso los recuerdos parecen caducar. La cultura de lo efímero borra cualquier intento de construir algo que perdure.",10
